t_idx,src_idx,tgt_idx,stiffness_k,partial_corr
0,5,1,0.000000000000,0.0000
0,5,2,0.000000000000,0.0000
0,5,3,0.000000000000,0.0000
0,5,4,0.000000000000,0.0000
0,5,5,0.000000000000,0.0000
0,5,6,0.000000000000,0.0000
0,5,7,0.000000000000,0.0000
0,5,8,0.000000000000,0.0000
0,5,9,0.000000000000,0.0000
0,5,10,0.000000000000,0.0000
0,5,11,0.000000000000,0.0000
0,5,12,0.000000000000,0.0000
0,5,13,0.000000000000,0.0000
0,5,14,0.000000000000,0.0000
0,6,0,0.000000000000,0.0000
0,6,1,0.000000000000,0.0000
0,6,2,0.000000000000,0.0000
0,6,3,0.000000000000,0.0000
0,6,4,0.000000000000,0.0000
0,6,5,0.000000000000,0.0000
0,6,6,0.000000000000,0.0000
0,6,7,0.000000000000,0.0000
0,6,8,0.000000000000,0.0000
0,6,9,0.000000000000,0.0000
0,6,10,0.000000000000,0.0000
0,6,11,0.000000000000,0.0000
0,6,12,0.000000000000,0.0000
0,6,13,0.000000000000,0.0000
0,6,14,0.000000000000,0.0000
0,7,0,0.000000000000,0.0000
0,7,1,0.000000000000,0.0000
0,7,2,0.000000000000,0.0000
0,7,3,0.000000000000,0.0000
0,7,4,0.000000000000,0.0000
0,7,5,0.000000000000,0.0000
0,7,6,0.000000000000,0.0000
0,7,7,0.000000000000,0.0000
0,7,8,0.000000000000,0.0000
0,7,9,0.000000000000,0.0000
0,7,10,0.000000000000,0.0000
0,7,11,0.000000000000,0.0000
0,7,12,0.000000000000,0.0000
0,7,13,0.000000000000,0.0000
0,7,14,0.000000000000,0.0000
0,8,0,0.000000000000,0.0000
0,8,1,0.000000000000,0.0000
0,8,2,0.000000000000,0.0000
0,8,3,0.000000000000,0.0000
0,8,4,0.000000000000,0.0000
0,8,5,0.000000000000,0.0000
0,8,6,0.000000000000,0.0000
0,8,7,0.000000000000,0.0000
0,8,8,0.000000000000,0.0000
0,8,9,0.000000000000,0.0000
0,8,10,0.000000000000,0.0000
0,8,11,0.000000000000,0.0000
0,8,12,0.000000000000,0.0000
0,8,13,0.000000000000,0.0000
0,8,14,0.000000000000,0.0000
0,9,0,0.000000000000,0.0000
0,9,1,0.000000000000,0.0000
0,9,2,0.000000000000,0.0000
0,9,3,0.000000000000,0.0000
0,9,4,0.000000000000,0.0000
0,9,5,0.000000000000,0.0000
0,9,6,0.000000000000,0.0000
0,9,7,0.000000000000,0.0000
0,9,8,0.000000000000,0.0000
0,9,9,0.000000000000,0.0000
0,9,10,0.000000000000,0.0000
0,9,11,0.000000000000,0.0000
0,9,12,0.000000000000,0.0000
0,9,13,0.000000000000,0.0000
0,9,14,0.000000000000,0.0000
0,10,0,0.000000000000,0.0000
0,10,1,0.000000000000,0.0000
0,10,2,0.000000000000,0.0000
0,10,3,0.000000000000,0.0000
0,10,4,0.000000000000,0.0000
0,10,5,0.000000000000,0.0000
0,10,6,0.000000000000,0.0000
0,10,7,0.000000000000,0.0000
0,10,8,0.000000000000,0.0000
0,10,9,0.000000000000,0.0000
0,10,10,0.000000000000,0.0000
0,10,11,0.000000000000,0.0000
0,10,12,0.000000000000,0.0000
0,10,13,0.000000000000,0.0000
0,10,14,0.000000000000,0.0000
0,11,0,0.000000000000,0.0000
0,11,1,0.000000000000,0.0000
0,11,2,0.000000000000,0.0000
0,11,3,0.000000000000,0.0000
0,11,4,0.000000000000,0.0000
0,11,5,0.000000000000,0.0000
0,11,6,0.000000000000,0.0000
0,11,7,0.000000000000,0.0000
0,11,8,0.000000000000,0.0000
0,11,9,0.000000000000,0.0000
0,11,10,0.000000000000,0.0000
0,11,11,0.000000000000,0.0000
0,11,12,0.000000000000,0.0000
0,11,13,0.000000000000,0.0000
0,11,14,0.000000000000,0.0000
0,12,0,0.000000000000,0.0000
0,12,1,0.000000000000,0.0000
0,12,2,0.000000000000,0.0000
0,12,3,0.000000000000,0.0000
0,12,4,0.000000000000,0.0000
0,12,5,0.000000000000,0.0000
0,12,6,0.000000000000,0.0000
0,12,7,0.000000000000,0.0000
0,12,8,0.000000000000,0.0000
0,12,9,0.000000000000,0.0000
0,12,10,0.000000000000,0.0000
0,12,11,0.000000000000,0.0000
0,12,12,0.000000000000,0.0000
0,12,13,0.000000000000,0.0000
0,12,14,0.000000000000,0.0000
0,13,0,0.000000000000,0.0000
0,13,1,0.000000000000,0.0000
0,13,2,0.000000000000,0.0000
0,13,3,0.000000000000,0.0000
0,13,4,0.000000000000,0.0000
0,13,5,0.000000000000,0.0000
0,13,6,0.000000000000,0.0000
0,13,7,0.000000000000,0.0000
0,13,8,0.000000000000,0.0000
0,13,9,0.000000000000,0.0000
0,13,10,0.000000000000,0.0000
0,13,11,0.000000000000,0.0000
0,13,12,0.000000000000,0.0000
0,13,13,0.000000000000,0.0000
0,13,14,0.000000000000,0.0000
0,14,0,0.000000000000,0.0000
0,14,1,0.000000000000,0.0000
0,14,2,0.000000000000,0.0000
0,14,3,0.000000000000,0.0000
0,14,4,0.000000000000,0.0000
0,14,5,0.000000000000,0.0000
0,14,6,0.000000000000,0.0000
0,14,7,0.000000000000,0.0000
0,14,8,0.000000000000,0.0000
0,14,9,0.000000000000,0.0000
0,14,10,0.000000000000,0.0000
0,14,11,0.000000000000,0.0000
0,14,12,0.000000000000,0.0000
0,14,13,0.000000000000,0.0000
0,14,14,0.000000000000,0.0000
1,0,0,0.000000000000,0.0000
1,0,1,0.000000000000,0.0000
1,0,2,0.000000000000,0.0000
1,0,3,0.000000000000,0.0000
1,0,4,0.000000000000,0.0000
1,0,5,0.000000000000,0.0000
1,0,6,0.000000000000,0.0000
1,0,7,0.000000000000,0.0000
1,0,8,0.000000000000,0.0000
1,0,9,0.000000000000,0.0000
1,0,10,0.000000000000,0.0000
1,0,11,0.000000000000,0.0000
1,0,12,0.000000000000,0.0000
1,0,13,0.000000000000,0.0000
1,0,14,0.000000000000,0.0000
1,1,0,0.000000000000,0.0000
1,1,1,0.000000000000,0.0000
1,1,2,0.000000000000,0.0000
1,1,3,0.000000000000,0.0000
1,1,4,0.000000000000,0.0000
1,1,5,0.000000000000,0.0000
1,1,6,0.000000000000,0.0000
1,1,7,0.000000000000,0.0000
1,1,8,0.000000000000,0.0000
1,1,9,0.000000000000,0.0000
1,1,10,0.000000000000,0.0000
1,1,11,0.000000000000,0.0000
1,1,12,0.000000000000,0.0000
1,1,13,0.000000000000,0.0000
1,1,14,0.000000000000,0.0000
1,2,0,0.000000000000,0.0000
1,2,1,0.000000000000,0.0000
1,2,2,0.000000000000,0.0000
1,2,3,0.000000000000,0.0000
1,2,4,0.000000000000,0.0000
1,2,5,0.000000000000,0.0000
1,2,6,0.000000000000,0.0000
1,2,7,0.000000000000,0.0000
1,2,8,0.000000000000,0.0000
1,2,9,0.000000000000,0.0000
1,2,10,0.000000000000,0.0000
1,2,11,0.000000000000,0.0000
1,2,12,0.000000000000,0.0000
1,2,13,0.000000000000,0.0000
1,2,14,0.000000000000,0.0000
1,3,0,0.000000000000,0.0000
1,3,1,0.000000000000,0.0000
1,3,2,0.000000000000,0.0000
1,3,3,0.000000000000,0.0000
1,3,4,0.000000000000,0.0000
1,3,5,0.000000000000,0.0000
1,3,6,0.000000000000,0.0000
1,3,7,0.000000000000,0.0000
1,3,8,0.000000000000,0.0000
1,3,9,0.000000000000,0.0000
1,3,10,0.000000000000,0.0000
1,3,11,0.000000000000,0.0000
1,3,12,0.000000000000,0.0000
1,3,13,0.000000000000,0.0000
1,3,14,0.000000000000,0.0000
1,4,0,0.000000000000,0.0000
1,4,1,0.000000000000,0.0000
1,4,2,0.000000000000,0.0000
1,4,3,0.000000000000,0.0000
1,4,4,0.000000000000,0.0000
1,4,5,0.000000000000,0.0000
1,4,6,0.000000000000,0.0000
1,4,7,0.000000000000,0.0000
1,4,8,0.000000000000,0.0000
1,4,9,0.000000000000,0.0000
1,4,10,0.000000000000,0.0000
1,4,11,0.000000000000,0.0000
1,4,12,0.000000000000,0.0000
1,4,13,0.000000000000,0.0000
1,4,14,0.000000000000,0.0000
1,5,0,0.000000000000,0.0000
1,5,1,0.000000000000,0.0000
1,5,2,0.000000000000,0.0000
1,5,3,0.000000000000,0.0000
1,5,4,0.000000000000,0.0000
1,5,5,0.000000000000,0.0000
1,5,6,0.000000000000,0.0000
1,5,7,0.000000000000,0.0000
1,5,8,0.000000000000,0.0000
1,5,9,0.000000000000,0.0000
1,5,10,0.000000000000,0.0000
1,5,11,0.000000000000,0.0000
1,5,12,0.000000000000,0.0000
1,5,13,0.000000000000,0.0000
1,5,14,0.000000000000,0.0000
1,6,0,0.000000000000,0.0000
1,6,1,0.000000000000,0.0000
1,6,2,0.000000000000,0.0000
1,6,3,0.000000000000,0.0000
1,6,4,0.000000000000,0.0000
1,6,5,0.000000000000,0.0000
1,6,6,0.000000000000,0.0000
1,6,7,0.000000000000,0.0000
1,6,8,0.000000000000,0.0000
1,6,9,0.000000000000,0.0000
1,6,10,0.000000000000,0.0000
1,6,11,0.000000000000,0.0000
1,6,12,0.000000000000,0.0000
1,6,13,0.000000000000,0.0000
1,6,14,0.000000000000,0.0000
1,7,0,0.000000000000,0.0000
1,7,1,0.000000000000,0.0000
1,7,2,0.000000000000,0.0000
1,7,3,0.000000000000,0.0000
1,7,4,0.000000000000,0.0000
1,7,5,0.000000000000,0.0000
1,7,6,0.000000000000,0.0000
1,7,7,0.000000000000,0.0000
1,7,8,0.000000000000,0.0000
1,7,9,0.000000000000,0.0000
1,7,10,0.000000000000,0.0000
1,7,11,0.000000000000,0.0000
1,7,12,0.000000000000,0.0000
1,7,13,0.000000000000,0.0000
1,7,14,0.000000000000,0.0000
1,8,0,0.000000000000,0.0000
1,8,1,0.000000000000,0.0000
1,8,2,0.000000000000,0.0000
1,8,3,0.000000000000,0.0000
1,8,4,0.000000000000,0.0000
1,8,5,0.000000000000,0.0000
1,8,6,0.000000000000,0.0000
1,8,7,0.000000000000,0.0000
1,8,8,0.000000000000,0.0000
1,8,9,0.000000000000,0.0000
1,8,10,0.000000000000,0.0000
1,8,11,0.000000000000,0.0000
1,8,12,0.000000000000,0.0000
1,8,13,0.000000000000,0.0000
1,8,14,0.000000000000,0.0000
1,9,0,0.000000000000,0.0000
1,9,1,0.000000000000,0.0000
1,9,2,0.000000000000,0.0000
1,9,3,0.000000000000,0.0000
1,9,4,0.000000000000,0.0000
1,9,5,0.000000000000,0.0000
1,9,6,0.000000000000,0.0000
1,9,7,0.000000000000,0.0000
1,9,8,0.000000000000,0.0000
1,9,9,0.000000000000,0.0000
1,9,10,0.000000000000,0.0000
1,9,11,0.000000000000,0.0000
1,9,12,0.000000000000,0.0000
1,9,13,0.000000000000,0.0000
1,9,14,0.000000000000,0.0000
1,10,0,0.000000000000,0.0000
1,10,1,0.000000000000,0.0000
1,10,2,0.000000000000,0.0000
1,10,3,0.000000000000,0.0000
1,10,4,0.000000000000,0.0000
1,10,5,0.000000000000,0.0000
1,10,6,0.000000000000,0.0000
1,10,7,0.000000000000,0.0000
1,10,8,0.000000000000,0.0000
1,10,9,0.000000000000,0.0000
1,10,10,0.000000000000,0.0000
1,10,11,0.000000000000,0.0000
1,10,12,0.000000000000,0.0000
1,10,13,0.000000000000,0.0000
1,10,14,0.000000000000,0.0000
1,11,0,0.000000000000,0.0000
1,11,1,0.000000000000,0.0000
1,11,2,0.000000000000,0.0000
1,11,3,0.000000000000,0.0000
1,11,4,0.000000000000,0.0000
1,11,5,0.000000000000,0.0000
1,11,6,0.000000000000,0.0000
1,11,7,0.000000000000,0.0000
1,11,8,0.000000000000,0.0000
1,11,9,0.000000000000,0.0000
1,11,10,0.000000000000,0.0000
1,11,11,0.000000000000,0.0000
1,11,12,0.000000000000,0.0000
1,11,13,0.000000000000,0.0000
1,11,14,0.000000000000,0.0000
1,12,0,0.000000000000,0.0000
1,12,1,0.000000000000,0.0000
1,12,2,0.000000000000,0.0000
1,12,3,0.000000000000,0.0000
1,12,4,0.000000000000,0.0000
1,12,5,0.000000000000,0.0000
1,12,6,0.000000000000,0.0000
1,12,7,0.000000000000,0.0000
1,12,8,0.000000000000,0.0000
1,12,9,0.000000000000,0.0000
1,12,10,0.000000000000,0.0000
1,12,11,0.000000000000,0.0000
1,12,12,0.000000000000,0.0000
1,12,13,0.000000000000,0.0000
1,12,14,0.000000000000,0.0000
1,13,0,0.000000000000,0.0000
1,13,1,0.000000000000,0.0000
1,13,2,0.000000000000,0.0000
1,13,3,0.000000000000,0.0000
1,13,4,0.000000000000,0.0000
1,13,5,0.000000000000,0.0000
1,13,6,0.000000000000,0.0000
1,13,7,0.000000000000,0.0000
1,13,8,0.000000000000,0.0000
1,13,9,0.000000000000,0.0000
1,13,10,0.000000000000,0.0000
1,13,11,0.000000000000,0.0000
1,13,12,0.000000000000,0.0000
1,13,13,0.000000000000,0.0000
1,13,14,0.000000000000,0.0000
1,14,0,0.000000000000,0.0000
1,14,1,0.000000000000,0.0000
1,14,2,0.000000000000,0.0000
1,14,3,0.000000000000,0.0000
1,14,4,0.000000000000,0.0000
1,14,5,0.000000000000,0.0000
1,14,6,0.000000000000,0.0000
1,14,7,0.000000000000,0.0000
1,14,8,0.000000000000,0.0000
1,14,9,0.000000000000,0.0000
1,14,10,0.000000000000,0.0000
1,14,11,0.000000000000,0.0000
1,14,12,0.000000000000,0.0000
1,14,13,0.000000000000,0.0000
1,14,14,0.000000000000,0.0000
2,0,0,0.000000000000,1.0000
2,0,1,0.000000000000,-1.0000
2,0,2,-0.000000000000,1.0000
2,0,3,0.000000000000,-1.0000
2,0,4,0.000000000000,-1.0000
2,0,5,-0.000000000000,1.0000
2,0,6,0.000000000000,-1.0000
2,0,7,-0.000000000000,1.0000
2,0,8,-0.000000000000,1.0000
2,0,9,-0.000000000000,1.0000
2,0,10,-0.000000000000,1.0000
2,0,11,-0.000000000000,1.0000
2,0,12,0.000000000000,-1.0000
2,0,13,-0.000000000000,1.0000
2,0,14,-0.000000000000,1.0000
2,1,0,0.000000000000,-1.0000
2,1,1,0.000000000000,1.0000
2,1,2,-0.000000000000,1.0000
2,1,3,0.000000000000,-1.0000
2,1,4,0.000000000000,-1.0000
2,1,5,-0.000000000000,1.0000
2,1,6,0.000000000000,-1.0000
2,1,7,-0.000000000000,1.0000
2,1,8,-0.000000000000,1.0000
2,1,9,-0.000000000000,1.0000
2,1,10,-0.000000000000,1.0000
2,1,11,-0.000000000000,1.0000
2,1,12,0.000000000000,-1.0000
2,1,13,-0.000000000000,1.0000
2,1,14,-0.000000000000,1.0000
2,2,0,-0.000000000000,1.0000
2,2,1,-0.000000000000,1.0000
2,2,2,0.000000000000,1.0000
2,2,3,-0.000000000000,1.0000
2,2,4,-0.000000000000,1.0000
2,2,5,0.000000000000,-1.0000
2,2,6,-0.000000000000,1.0000
2,2,7,0.000000000000,-1.0000
2,2,8,0.000000000000,-1.0000
2,2,9,0.000000000000,-1.0000
2,2,10,0.000000000000,-1.0000
2,2,11,0.000000000000,-1.0000
2,2,12,-0.000000000000,1.0000
2,2,13,0.000000000000,-1.0000
2,2,14,0.000000000000,-1.0000
2,3,0,0.000000000000,-1.0000
2,3,1,0.000000000000,-1.0000
2,3,2,-0.000000000000,1.0000
2,3,3,0.000000000000,1.0000
2,3,4,0.000000000000,-1.0000
2,3,5,-0.000000000000,1.0000
2,3,6,0.000000000000,-1.0000
2,3,7,-0.000000000000,1.0000
2,3,8,-0.000000000000,1.0000
2,3,9,-0.000000000000,1.0000
2,3,10,-0.000000000000,1.0000
2,3,11,-0.000000000000,1.0000
2,3,12,0.000000000000,-1.0000
2,3,13,-0.000000000000,1.0000
2,3,14,-0.000000000000,1.0000
2,4,0,0.000000000000,-1.0000
2,4,1,0.000000000000,-1.0000
2,4,2,-0.000000000000,1.0000
2,4,3,0.000000000000,-1.0000
2,4,4,0.000000000000,1.0000
2,4,5,-0.000000000000,1.0000
2,4,6,0.000000000000,-1.0000
2,4,7,-0.000000000000,1.0000
2,4,8,-0.000000000000,1.0000
2,4,9,-0.000000000000,1.0000
2,4,10,-0.000000000000,1.0000
2,4,11,-0.000000000000,1.0000
2,4,12,0.000000000000,-1.0000
2,4,13,-0.000000000000,1.0000
2,4,14,-0.000000000000,1.0000
2,5,0,-0.000000000000,1.0000
2,5,1,-0.000000000000,1.0000
2,5,2,0.000000000000,-1.0000
2,5,3,-0.000000000000,1.0000
2,5,4,-0.000000000000,1.0000
2,5,5,0.000000000000,1.0000
2,5,6,-0.000000000000,1.0000
2,5,7,0.000000000000,-1.0000
2,5,8,0.000000000000,-1.0000
2,5,9,0.000000000000,-1.0000
2,5,10,0.000000000000,-1.0000
2,5,11,0.000000000000,-1.0000
2,5,12,-0.000000000000,1.0000
2,5,13,0.000000000000,-1.0000
2,5,14,0.000000000000,-1.0000
2,6,0,0.000000000000,-1.0000
2,6,1,0.000000000000,-1.0000
2,6,2,-0.000000000000,1.0000
2,6,3,0.000000000000,-1.0000
2,6,4,0.000000000000,-1.0000
2,6,5,-0.000000000000,1.0000
2,6,6,0.000000000000,1.0000
2,6,7,-0.000000000000,1.0000
2,6,8,-0.000000000000,1.0000
2,6,9,-0.000000000000,1.0000
2,6,10,-0.000000000000,1.0000
2,6,11,-0.000000000000,1.0000
2,6,12,0.000000000000,-1.0000
2,6,13,-0.000000000000,1.0000
2,6,14,-0.000000000000,1.0000
2,7,0,-0.000000000000,1.0000
2,7,1,-0.000000000000,1.0000
2,7,2,0.000000000000,-1.0000
2,7,3,-0.000000000000,1.0000
2,7,4,-0.000000000000,1.0000
2,7,5,0.000000000000,-1.0000
2,7,6,-0.000000000000,1.0000
2,7,7,0.000000000000,1.0000
2,7,8,0.000000000000,-1.0000
2,7,9,0.000000000000,-1.0000
2,7,10,0.000000000000,-1.0000
2,7,11,0.000000000000,-1.0000
2,7,12,-0.000000000000,1.0000
2,7,13,0.000000000000,-1.0000
2,7,14,0.000000000000,-1.0000
2,8,0,-0.000000000000,1.0000
2,8,1,-0.000000000000,1.0000
2,8,2,0.000000000000,-1.0000
2,8,3,-0.000000000000,1.0000
2,8,4,-0.000000000000,1.0000
2,8,5,0.000000000000,-1.0000
2,8,6,-0.000000000000,1.0000
2,8,7,0.000000000000,-1.0000
2,8,8,0.000000000000,1.0000
2,8,9,0.000000000000,-1.0000
2,8,10,0.000000000000,-1.0000
2,8,11,0.000000000000,-1.0000
2,8,12,-0.000000000000,1.0000
2,8,13,0.000000000000,-1.0000
2,8,14,0.000000000000,-1.0000
2,9,0,-0.000000000000,1.0000
2,9,1,-0.000000000000,1.0000
2,9,2,0.000000000000,-1.0000
2,9,3,-0.000000000000,1.0000
2,9,4,-0.000000000000,1.0000
2,9,5,0.000000000000,-1.0000
2,9,6,-0.000000000000,1.0000
2,9,7,0.000000000000,-1.0000
2,9,8,0.000000000000,-1.0000
2,9,9,0.000000000000,1.0000
2,9,10,0.000000000000,-1.0000
2,9,11,0.000000000000,-1.0000
2,9,12,-0.000000000000,1.0000
2,9,13,0.000000000000,-1.0000
2,9,14,0.000000000000,-1.0000
2,10,0,-0.000000000000,1.0000
2,10,1,-0.000000000000,1.0000
2,10,2,0.000000000000,-1.0000
2,10,3,-0.000000000000,1.0000
2,10,4,-0.000000000000,1.0000
2,10,5,0.000000000000,-1.0000
2,10,6,-0.000000000000,1.0000
2,10,7,0.000000000000,-1.0000
2,10,8,0.000000000000,-1.0000
2,10,9,0.000000000000,-1.0000
2,10,10,0.000000000000,1.0000
2,10,11,0.000000000000,-1.0000
2,10,12,-0.000000000000,1.0000
2,10,13,0.000000000000,-1.0000
2,10,14,0.000000000000,-1.0000
2,11,0,-0.000000000000,1.0000
2,11,1,-0.000000000000,1.0000
2,11,2,0.000000000000,-1.0000
2,11,3,-0.000000000000,1.0000
2,11,4,-0.000000000000,1.0000
2,11,5,0.000000000000,-1.0000
2,11,6,-0.000000000000,1.0000
2,11,7,0.000000000000,-1.0000
2,11,8,0.000000000000,-1.0000
2,11,9,0.000000000000,-1.0000
2,11,10,0.000000000000,-1.0000
2,11,11,0.000000000000,1.0000
2,11,12,-0.000000000000,1.0000
2,11,13,0.000000000000,-1.0000
2,11,14,0.000000000000,-1.0000
2,12,0,0.000000000000,-1.0000
2,12,1,0.000000000000,-1.0000
2,12,2,-0.000000000000,1.0000
2,12,3,0.000000000000,-1.0000
2,12,4,0.000000000000,-1.0000
2,12,5,-0.000000000000,1.0000
2,12,6,0.000000000000,-1.0000
2,12,7,-0.000000000000,1.0000
2,12,8,-0.000000000000,1.0000
2,12,9,-0.000000000000,1.0000
2,12,10,-0.000000000000,1.0000
2,12,11,-0.000000000000,1.0000
2,12,12,0.000000000000,1.0000
2,12,13,-0.000000000000,1.0000
2,12,14,-0.000000000000,1.0000
2,13,0,-0.000000000000,1.0000
2,13,1,-0.000000000000,1.0000
2,13,2,0.000000000000,-1.0000
2,13,3,-0.000000000000,1.0000
2,13,4,-0.000000000000,1.0000
2,13,5,0.000000000000,-1.0000
2,13,6,-0.000000000000,1.0000
2,13,7,0.000000000000,-1.0000
2,13,8,0.000000000000,-1.0000
2,13,9,0.000000000000,-1.0000
2,13,10,0.000000000000,-1.0000
2,13,11,0.000000000000,-1.0000
2,13,12,-0.000000000000,1.0000
2,13,13,0.000000000000,1.0000
2,13,14,0.000000000000,-1.0000
2,14,0,-0.000000000000,1.0000
2,14,1,-0.000000000000,1.0000
2,14,2,0.000000000000,-1.0000
2,14,3,-0.000000000000,1.0000
2,14,4,-0.000000000000,1.0000
2,14,5,0.000000000000,-1.0000
2,14,6,-0.000000000000,1.0000
2,14,7,0.000000000000,-1.0000
2,14,8,0.000000000000,-1.0000
2,14,9,0.000000000000,-1.0000
2,14,10,0.000000000000,-1.0000
2,14,11,0.000000000000,-1.0000
2,14,12,-0.000000000000,1.0000
2,14,13,0.000000000000,-1.0000
2,14,14,0.000000000000,1.0000
3,0,0,0.000000000000,1.0000
3,0,1,0.000000000000,-0.9980
3,0,2,-0.000000000000,0.6250
3,0,3,0.000000000000,-0.5364
3,0,4,0.000000000000,-0.6324
3,0,5,-0.000000000000,0.3918
3,0,6,0.000000000000,-0.2349
3,0,7,-0.000000000000,0.3131
3,0,8,-0.000000000000,0.2114
3,0,9,-0.000000000000,0.5652
3,0,10,0.000000000000,-0.0497
3,0,11,-0.000000000000,0.0102
3,0,12,0.000000000000,-0.4180
3,0,13,-0.000000000000,0.1535
3,0,14,-0.000000000000,0.5232
3,1,0,0.000000000000,-0.9980
3,1,1,0.000000000000,1.0000
3,1,2,-0.000000000000,0.5738
3,1,3,0.000000000000,-0.4813
3,1,4,0.000000000000,-0.6807
3,1,5,-0.000000000000,0.3321
3,1,6,0.000000000000,-0.1723
3,1,7,-0.000000000000,0.3732
3,1,8,-0.000000000000,0.2735
3,1,9,-0.000000000000,0.5113
3,1,10,-0.000000000000,0.0143
3,1,11,-0.000000000000,0.0741
3,1,12,0.000000000000,-0.3590
3,1,13,-0.000000000000,0.2164
3,1,14,-0.000000000000,0.4676
3,2,0,-0.000000000000,0.6250
3,2,1,-0.000000000000,0.5738
3,2,2,0.000000000000,1.0000
3,2,3,-0.000000000000,0.9941
3,2,4,0.000000000000,-0.2095
3,2,5,0.000000000000,-0.9631
3,2,6,-0.000000000000,0.9056
3,2,7,-0.000000000000,0.5457
3,2,8,-0.000000000000,0.6309
3,2,9,0.000000000000,-0.9972
3,2,10,-0.000000000000,0.8108
3,2,11,-0.000000000000,0.7742
3,2,12,-0.000000000000,0.9704
3,2,13,-0.000000000000,0.6754
3,2,14,0.000000000000,-0.9923
3,3,0,0.000000000000,-0.5364
3,3,1,0.000000000000,-0.4813
3,3,2,-0.000000000000,0.9941
3,3,3,0.000000000000,1.0000
3,3,4,-0.000000000000,0.3146
3,3,5,-0.000000000000,0.9866
3,3,6,0.000000000000,-0.9464
3,3,7,0.000000000000,-0.6336
3,3,8,0.000000000000,-0.7115
3,3,9,-0.000000000000,0.9994
3,3,10,0.000000000000,-0.8696
3,3,11,0.000000000000,-0.8385
3,3,12,0.000000000000,-0.9909
3,3,13,0.000000000000,-0.7516
3,3,14,-0.000000000000,0.9999
3,4,0,0.000000000000,-0.6324
3,4,1,0.000000000000,-0.6807
3,4,2,0.000000000000,-0.2095
3,4,3,-0.000000000000,0.3146
3,4,4,0.000000000000,1.0000
3,4,5,0.000000000000,-0.4650
3,4,6,-0.000000000000,0.6044
3,4,7,-0.000000000000,0.9337
3,4,8,-0.000000000000,0.8908
3,4,9,0.000000000000,-0.2816
3,4,10,-0.000000000000,0.7422
3,4,11,-0.000000000000,0.7810
3,4,12,-0.000000000000,0.4394
3,4,13,-0.000000000000,0.8625
3,4,14,0.000000000000,-0.3292
3,5,0,-0.000000000000,0.3918
3,5,1,-0.000000000000,0.3321
3,5,2,0.000000000000,-0.9631
3,5,3,-0.000000000000,0.9866
3,5,4,0.000000000000,-0.4650
3,5,5,0.000000000000,1.0000
3,5,6,-0.000000000000,0.9864
3,5,7,-0.000000000000,0.7511
